v_c,v_m,F_vmax,epsilon_B,epsilon_E,E_52,t_d,n_1,D_28
2605298277.8367543,405278226582096.8,4043.207201804244,8.234284213520537,4.855498744864788,35.86765472046236,68.73360590000695,0.8833472836397468,51.300803393395725
37419712217.03297,9.153470465233374e+16,519.3472156190109,7.680663462091371,8.379753713483025,6.285914160281396,2.09776473840185,0.93347480997541,59.70724006736526
6505652747.249851,53949430386052.15,9352.121602842617,4.90117667180419,1.4044926777858704,33.27324525618188,41.37612420060425,1.0308604204626575,29.659505527449237
5571261350.437278,1.7044776045149082e+16,2948.7514970946118,5.698550544028581,9.463639223966858,70.42313238352729,15.325918770092978,1.0844079589683637,80.81169198103508
32435873489.160618,2.9449027648870624e+17,616.0539000637995,7.01625769236651,7.562503609865793,18.673634929101805,1.170940576139592,0.9578511155363224,92.97202521993938
6324812458.929041,2.3487072372855132e+16,8869.56822425574,9.992709608291548,7.15792536051876,32.0874533526856,7.914431162994029,0.8480349148883417,34.03587957911819
5742241748.846309,2477833685315803.0,3853.708364138516,3.8724716396272014,9.945917757950463,64.85823742074834,50.66554861732676,1.0763684937539901,61.47900025852576
47704496813.88999,4056215507876644.5,2650.1940346827805,2.0566490495725445,5.033787039452789,32.01617612599073,9.416125188894476,1.105206216203858,44.760312894217435
3819025089.900238,5425948414726613.0,6355.708728225395,8.230426558163503,4.384973502173091,59.32493395982169,12.582742150199376,1.0959013361239272,55.53048050068758
262191903712.64536,890289121160227.2,95.64361720476226,1.2993462690050728,9.983139753078834,2.6750011210672113,24.188096049823915,0.8643592923753403,57.0998717387784
91475220549.80682,3555006811046306.5,828663.6047793191,0.9202872499201196,6.535787233657331,94.0498476361589,15.95318202363108,0.863122588980253,3.3356865228612858
43985098841.429886,7.458226296279464e+16,2441269.6132293814,3.9171658471433646,8.287004847820459,27.410404588531854,3.0925646814841046,0.8599696691229279,1.5056012483875663
26250477732.45617,2.598215161445637e+17,123079.16664162611,5.266201187010802,9.688885323931352,49.28788972460683,2.224560081738911,0.8128084327693356,9.54653112749355
1257772117.1190393,2314666830655129.0,13579.800867118684,9.196347246480201,8.84060194154741,68.00669284948755,61.41706132853603,1.1910182463310894,42.69813547148679
9463549673.099936,1569759659333599.5,17186.298649609995,6.034017812415825,1.3524126422969405,90.31580062211503,6.217706219763661,0.8122745553935773,35.773743829095935
1778273922.3878562,157974880867142.44,2458.419995931835,8.665755023556923,1.975764998516488,66.53766488145172,48.54333209331829,1.0472658053103727,94.70391071682761
281997187291.82855,1.3748516645808845e+17,128116.3316704113,0.9092771685935713,8.692940564768156,57.807862092598334,1.7279427648548031,1.1048833458559184,7.05327355113539
91474322927.12122,8.087057238324629e+16,498.5863762993882,5.190996510413994,7.596676258848056,4.1067157757437345,1.522192269665989,0.9981742814913741,45.41378217353616
36656104220.00181,5.441232839670992e+16,1878.332932105367,2.0788173733730932,9.090479411176865,87.56610828388784,5.147759028299151,1.157486200647298,89.18896423969777
2738354754.3393207,299672832666361.3,2698.0367816381613,7.7136785378648876,2.9377244645253207,62.94206333945514,50.765332950909,0.8141935217335577,80.19368901246169
1878969324.401432,2337616766632068.5,4366.7053245138295,6.823800976001057,9.600113291978937,80.7884208183487,65.2972156092052,1.1098969448260667,74.83783504850669
6395474852.059542,1.4797401192470778e+16,144426.59261926622,7.740339624359738,8.92432293279924,40.38852238439344,14.329552721375208,0.8149024880471674,8.789580688105856
5532664849.052045,7224098852049336.0,2800.8805315961395,6.275378277718713,9.01064977667592,51.065107167266916,23.60425600845221,0.8941538569330436,68.92459375768817
24981934195.838547,4045304139069239.5,11555.278987140255,2.8473336240991984,3.623633084665227,54.94067206876958,8.120551300849613,1.0649774891553532,30.1785107240829
2960141045.427401,1696095550880834.8,4453.4977970366535,7.894934165545956,9.547443302626691,21.8089027174975,54.46613864041068,1.1930218252009057,40.65948324018469
5072966937.160931,1.1161090965987898e+16,55425.17898090472,8.014221207563413,5.9035413917916735,55.4084994836112,11.204905384121357,0.9414937741756977,17.380036333466204
2633519165.6977935,695879977212009.6,29354.33887853313,6.641033314204973,3.5744970232107454,82.63946628570442,39.173103849312,1.052897389138723,28.61602914955616
411654735250.2305,1.0088449533506898e+16,80.9826485802007,1.8838674349271436,2.8751977111085183,4.6252232815810475,1.2387535703951198,1.0597326848671873,94.21680503535327
86142374090.80931,9737413305949270.0,9217.89930210514,1.8192697437273997,5.486258826865959,39.765540748605666,6.078417888222983,0.8215851080923458,24.086362765193687
3006585643.7625623,115860627142722.75,6569.186399033893,6.56365024229304,1.4573127197886473,70.26595220984568,36.925505560081405,1.0484225312608155,55.556319071830444
14672499432.667316,2116662971410350.5,131346.57797609008,3.0994368813806212,4.522694244724253,58.28635863035098,17.631731903702605,1.051972820006135,9.388414431191832
36070683561.02458,2.306601550159529e+16,2688.1006974857332,2.6548994714478917,5.677861394582616,48.452727927927555,4.338137743511255,1.1935111612197606,59.40887574290882
4457057129534.496,1.9452598136972616e+16,218.3758361481529,0.4651808825590179,6.990920629492905,2.069983170236415,1.254604612875371,1.1848024092493463,27.822388211375856
7211073517.140271,2125398472974037.5,5045.4550884840755,5.250988326060486,7.323308308174975,25.722882647381397,30.344942219311502,1.113779669377073,36.82697721852817
17174171672.846313,5.68228862652264e+16,6672.710523710208,4.794282523586793,4.431815612276837,82.53005240538985,2.4857371491365745,1.045607928835973,55.19177779281965
122836174698.1309,250447569629457.5,809.956232947748,0.40527763098786196,5.834517995606122,98.51272672542764,62.114595148992606,1.0890944140006773,94.27928446361759
9368478976.797514,1.327966882139993e+16,1970.288935977434,6.669131899942,6.156138427495325,29.44407980462093,8.039431534021112,1.0876246797015892,66.53765126775558
441495212596.93164,1.0596849870577352e+17,1941.8280416906796,0.7756689827903365,6.602416144957248,58.9987958721203,1.3601154251134493,0.9993409192010355,54.24503973295729
2910022417.1224623,932540216192539.0,1970.4951291978991,9.657535900446177,2.256561890216216,45.1033029905896,16.159431663679396,1.1451192567832724,91.50442485284668
70530104150.63937,41818707296907.81,444.9880423817459,1.3588282789332768,2.401936732876482,14.41914276955128,49.48264727826837,0.9047866630480744,62.86654378947154
112517975276.86018,1.077101821596833e+16,2080.547601767495,1.3577373249024385,3.2691665951642133,78.64637362798874,3.244588466609995,0.9495089412819332,68.71088927031187
14569888063.69867,2.7961128440078326e+17,379233.17038886074,7.1468899091884275,5.597809072176986,58.98956440827742,1.1982156201952405,1.153657323827483,7.009374410891244
24743137549.058983,434347350921744.6,1776.190621355887,2.0004913623665477,2.2844977719409876,91.0277593792444,20.441665715096207,0.894044027992378,86.82851531194129
